"regulator","TU_prom","Effect","Evidence","Evidence_Level","regulator_id","Promoter","TU","gene_id","Category"
"FhlA","hycABCDEFGHI[hycAp]","+","[GEA, APPH, IFC, BTEI, APIORCISFBSCS, BPP]","STRONG","b2731","hycAp","hycABCDEFGHI","b2725,b2718,b2717,b2719,b2720,b2721,b2722,b2723,b2724","TF"
"FhlA","hydN-hypF[hydNp]","+","[GEA, APPH, IFC, LTED, BPP]","STRONG","b2731","hydNp","hydN-hypF","b2713,b2712","TF"
"FhlA","hyfABCDEFGHIJR-focB[hyfAp]","+","[GEA, APPH, IFC, BTEI, IEP, ITCR]","STRONG","b2731","hyfAp","hyfABCDEFGHIJR-focB","b2490,b2491,b2481,b2482,b2483,b2484,b2485,b2486,b2487,b2488,b2489,b2492","TF"
"FhlA","hypABCDE[hypAp]","+","[GEA, APPH, IFC, BTEI, ITCR, LTED, APIORCISFBSCS, BPP]","STRONG","b2731","hypAp","hypABCDE","b2726,b2729,b2728,b2730,b2727","TF"
"FhlA","hypABCDE-fhlA[hypAp]","+","[GEA, APPH, IFC, IEP, NTAS, APIORCISFBSCS, BPP]","STRONG","b2731","hypAp","hypABCDE-fhlA","b2726,b2729,b2728,b2730,b2727,b2731","TF"
"Fis","acnB[acnBp1]","-","[GEA, IDA, IEP, IPI, LTED, APIORCISFBSCS]","STRONG","b3261","acnBp1","acnB","b0118","TF"
"Fis","acs-yjcHG[acsp1]","-","[GEA, IDA, IEP, IPI, LTED, BPP]","STRONG","b3261","acsp1","acs-yjcHG","b4067,b4068,b4069","TF"
"Fis","acs-yjcHG[acsp2]","-","[GEA, IDA, IEP, IPI, LTED, AIBSCS, BPP, SM]","STRONG","b3261","acsp2","acs-yjcHG","b4067,b4068,b4069","TF"
"Fis","acs-yjcHG[acsp]","-","[GEA, IDA, IEP, IPI, LTED, AIBSCS, BPP, SM]","STRONG","b3261","acsp","acs-yjcHG","b4067,b4068,b4069","TF"
"Fis","adhE[adhEp1]","+","[GEA, IDA, IEP, IPI, TASES, APIORCISFBSCS, BPP]","STRONG","b3261","adhEp1","adhE","b1241","TF"
"Fis","adhE[adhEp]","+","[GEA, IDA, IEP, IPI, TASES, APIORCISFBSCS, BPP]","STRONG","b3261","adhEp","adhE","b1241","TF"
"Fis","alaWX[alaWp]","+","[IDA, IEP, IPI, BTEI, BCE]","STRONG","b3261","alaWp","alaWX","b2396,b2397","TF"
"Fis","aldB[aldBp]","-","[GEA, IDA, IEP, IPI, IEP, ITCR, AIBSCS, BPP, APIORCISFBSCS]","STRONG","b3261","aldBp","aldB","b3588","TF"
"Fis","ansB[ansBp1]","-","[GEA, IDA, IEP, IPI, BTEI, AIBSCS]","STRONG","b3261","ansBp1","ansB","b2957","TF"
"Fis","argU[argUp]","+","[IDA, IEP, IPI, BTEI, IHBCE]","STRONG","b3261","argUp","argU","b0536","TF"
"Fis","argW[argWp]","+","[IDA, IEP, IPI, BTEI, BCE]","STRONG","b3261","argWp","argW","b2348","TF"
"Fis","argX-hisR-leuT-proM[argXp]","+","[IDA, IEP, IPI, BTEI, LTED, BCE]","STRONG","b3261","argXp","argX-hisR-leuT-proM","b3796,b3797,b3798,b3799","TF"
"Fis","aspV[aspVp]","+","[IDA, IEP, IPI, BTEI, BCE]","STRONG","b3261","aspVp","aspV","b0216","TF"
"Fis","bglG[bglGp1]","-","[IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","bglGp1","bglG","b3723","TF"
"Fis","bglGFB[bglGp1]","-","[IDA, IEP, IPI, BTEI, PM, BPP]","STRONG","b3261","bglGp1","bglGFB","b3721,b3722,b3723","TF"
"Fis","carAB[carAp1]","+","[GEA, IDA, IEP, IPI, CV(LTED/PM), LTED, PM, AIBSCS]","CONFIRMED","b3261","carAp1","carAB","b0032,b0033","TF"
"Fis","cbpA-cbpM[cbpAp6]","-","[APIORCISFBSCS, BPP, GEA, SM, IDA, IEP, IPI, PAGTSBP, APIORCISFBSCS, BPP, SM]","STRONG","b3261","cbpAp6","cbpA-cbpM","b0999,b1000","TF"
"Fis","cbpA-cbpM[cbpAp4]","-","[GEA, IDA, IEP, IPI, PAGTSBP, APIORCISFBSCS, BPP, SM]","STRONG","b3261","cbpAp4","cbpA-cbpM","b0999,b1000","TF"
"Fis","cbpA-cbpM[cbpAp]","-","[APIORCISFBSCS, BPP, GEA, SM, IDA, IEP, IPI, PAGTSBP, APIORCISFBSCS, BPP, SM]","STRONG","b3261","cbpAp","cbpA-cbpM","b0999,b1000","TF"
"Fis","crp[crpp1]","-","[GEA, IDA, IEP, IPI, APIORCISFBSCS, BPP]","STRONG","b3261","crpp1","crp","b3357","TF"
"Fis","crp[crpp3]","-","[GEA, IDA, IEP, IPI, APIORCISFBSCS, BPP]","STRONG","b3261","crpp3","crp","b3357","TF"
"Fis","crp[crpp2]","-","[GEA, IDA, IEP, IPI, APIORCISFBSCS, BPP]","STRONG","b3261","crpp2","crp","b3357","TF"
"Fis","cspA[cspAp1]","+","[GEA, IDA, IEP, IPI, BTEI, LTED, AIBSCS, BPP]","STRONG","b3261","cspAp1","cspA","b3556","TF"
"Fis","cspI[cspIp1]","-","[GEA, IDA, IEP, IPI, AIBSCS]","STRONG","b3261","cspIp1","cspI","b1552","TF"
"Fis","cyoABCDE[cyoAp]","+","[GEA, IDA, IEP, IPI, BPP]","STRONG","b3261","cyoAp","cyoABCDE","b0428,b0429,b0430,b0431,b0432","TF"
"Fis","deoCABD[deoCp2]","+","[GEA, IDA, IEP, IPI, LTED, AIBSCS]","STRONG","b3261","deoCp2","deoCABD","b4381,b4382,b4383,b4384","TF"
"Fis","dmsABC[dmsAp1]","-","[GEA, IDA, IEP, IPI, AIBSCS]","STRONG","b3261","dmsAp1","dmsABC","b0894,b0895,b0896","TF"
"Fis","dnaAN-recF[dnaAp2]","-","[GEA, IDA, IEP, IPI, APIORCISFBSCS, BPP]","STRONG","b3261","dnaAp2","dnaAN-recF","b3702,b3700,b3701","TF"
"Fis","dps[dpsp]","-","[GEA, IDA, IEP, IPI, APIORCISFBSCS, BPP]","STRONG","b3261","dpsp","dps","b0812","TF"
"Fis","dps[dpsp2]","-","[GEA, IDA, IEP, IPI, APIORCISFBSCS, BPP]","STRONG","b3261","dpsp2","dps","b0812","TF"
"Fis","dusB-fis[dusBp]","-","[GEA, IDA, IEP, IPI, BTEI, APIORCISFBSCS, BPP, SM]","STRONG","b3261","dusBp","dusB-fis","b3260,b3261","TF"
"Fis","emrD[emrDp]","+","[GEA, IDA, IEP, IPI, ICWHO, BPP]","STRONG","b3261","emrDp","emrD","b3673","TF"
"Fis","fadBA[fadBp]","+","[GEA, IDA, IEP, IPI, PAGTSBP, AIBSCS]","STRONG","b3261","fadBp","fadBA","b3845,b3846","TF"
"Fis","flxA[flxAp]","+","[GEA, IDA, IEP, IPI, BTEI, AIBSCS]","STRONG","b3261","flxAp","flxA","b1566","TF"
"Fis","fumB[fumBp]","-","[GEA, IDA, IEP, IPI, BTEI, LTED, BPP]","STRONG","b3261","fumBp","fumB","b4122","TF"
"Fis","gadAX[gadAp]","-","[GEA, IDA, IEP, IPI, BTEI, LTED, AIBSCS]","STRONG","b3261","gadAp","gadAX","b3516,b3517","TF"
"Fis","gadAX[gadAp2]","-","[GEA, IDA, IEP, IPI, BTEI, LTED, AIBSCS]","STRONG","b3261","gadAp2","gadAX","b3516,b3517","TF"
"Fis","gadBC[gadBp]","-","[GEA, IDA, IEP, IPI, BTEI, LTED, AIBSCS]","STRONG","b3261","gadBp","gadBC","b1492,b1493","TF"
"Fis","gadBC[gadBp2]","-","[GEA, IDA, IEP, IPI, BTEI, LTED, AIBSCS]","STRONG","b3261","gadBp2","gadBC","b1492,b1493","TF"
"Fis","glcC[glcCp]","-","[GEA, IDA, IEP, IPI, LTED, AIBSCS]","STRONG","b3261","glcCp","glcC","b2980","TF"
"Fis","glnA[glnAp2]","+","[GEA, IDA, IEP, IPI, LTED, AIBSCS, BPP]","STRONG","b3261","glnAp2","glnA","b3870","TF"
"Fis","glnALG[glnAp2]","+","[GEA, IDA, IEP, IPI, BTEI, ITCR, AIBSCS, BPP]","STRONG","b3261","glnAp2","glnALG","b3868,b3869,b3870","TF"
"Fis","glnQ[glnQp]","-","[GEA, IDA, IEP, IPI, BPP]","STRONG","b3261","glnQp","glnQ","b0809","TF"
"Fis","glpABC[glpABCp]","+","[GEA, IDA, IEP, IPI, BTEI, PM, AIBSCS]","STRONG","b3261","glpABCp","glpABC","b2241,b2242,b2243","TF"
"Fis","glpTQ[glpTQp]","+","[AIBSCS, GEA, IDA, IEP, IPI, AIBSCS]","STRONG","b3261","glpTQp","glpTQ","b2239,b2240","TF"
"Fis","gltX[gltXp3]","-","[IDA, IEP, IPI, BTEI, AIBSCS, BCE, BPP, SM, APIORCISFBSCS]","STRONG","b3261","gltXp3","gltX","b2400","TF"
"Fis","glyU[glyUp]","+","[IDA, IEP, IPI, BCE]","STRONG","b3261","glyUp","glyU","b2864","TF"
"Fis","grcA[grcAp1]","+","[GEA, IDA, IEP, IPI, BTEI, AIBSCS]","STRONG","b3261","grcAp1","grcA","b2579","TF"
"Fis","guaBA[guaBp]","-","[IDA, IEP, IPI, BTEI, PAGTSBP, PM, AIBSCS, BPP, SM]","STRONG","b3261","guaBp","guaBA","b2507,b2508","TF"
"Fis","gyrA[gyrAp]","-","[GEA, IDA, IEP, IPI, APIORCISFBSCS, BPP]","STRONG","b3261","gyrAp","gyrA","b2231","TF"
"Fis","gyrB[gyrBp]","-","[GEA, IDA, IEP, IPI, BTEI, APIORCISFBSCS, BPP]","STRONG","b3261","gyrBp","gyrB","b3699","TF"
"Fis","gyrB[gyrBp2]","-","[GEA, IDA, IEP, IPI, BTEI, APIORCISFBSCS, BPP]","STRONG","b3261","gyrBp2","gyrB","b3699","TF"
"Fis","hlyE[hlyEp]","-","[GEA, IDA, IEP, IPI, LTED, AIBSCS]","STRONG","b3261","hlyEp","hlyE","b1182","TF"
"Fis","hns[hnsp]","+","[IDA, IEP, IPI, BPP]","STRONG","b3261","hnsp","hns","b1237","TF"
"Fis","hupA[hupAp]","+","[GEA, IDA, IEP, IPI, BTEI, LTED, BPP]","STRONG","b3261","hupAp","hupA","b4000","TF"
"Fis","hupB[hupBp2]","-","[GEA, IDA, IEP, IPI, BTEI, LTED, BPP]","STRONG","b3261","hupBp2","hupB","b0440","TF"
"Fis","hupB[hupBp3]","-","[GEA, IDA, IEP, IPI, BTEI, LTED, BPP]","STRONG","b3261","hupBp3","hupB","b0440","TF"
"Fis","hyaABCDEF[hyaAp]","-","[GEA, IDA, IEP, IPI, BTEI, ITCR, AIBSCS]","STRONG","b3261","hyaAp","hyaABCDEF","b0975,b0976,b0972,b0973,b0974,b0977","TF"
"Fis","hyaABCDEF[hyaAp2]","-","[GEA, IDA, IEP, IPI, BTEI, ITCR, AIBSCS]","STRONG","b3261","hyaAp2","hyaABCDEF","b0975,b0976,b0972,b0973,b0974,b0977","TF"
"Fis","katE[katEp]","-","[GEA, IDA, IEP, IPI, BTEI, AIBSCS]","STRONG","b3261","katEp","katE","b1732","TF"
"Fis","leuQPV[leuQp]","+","[GEA, IDA, IEP, IPI, BTEI, LTED, APIORCISFBSCS, BCE, IHBCE]","STRONG","b3261","leuQp","leuQPV","b4368,b4369,b4370","TF"
"Fis","leuX[leuXp]","+","[IDA, IEP, IPI, BTEI, BCE]","STRONG","b3261","leuXp","leuX","b4270","TF"
"Fis","lpdA[lpdAp]","+","[IDA, IEP, IPI, LTED, BCE, BPP]","STRONG","b3261","lpdAp","lpdA","b0116","TF"
"Fis","lysT-valT-lysW[lysTp]","+","[IDA, IEP, IPI, BTEI, IHBCE]","STRONG","b3261","lysTp","lysT-valT-lysW","b0743,b0744,b0745","TF"
"Fis","malEFGH[malEp]","+","[GEA, IDA, IEP, IPI, ITCR, LTED, AIBSCS]","STRONG","b3261","malEp","malEFGH","b4807,b4032,b4033,b4034","TF"
"Fis","marRAB[marRp]","+","[GEA, IDA, IEP, IPI, BTEI, IEP, ITCR, LTED, BPP, SM]","STRONG","b3261","marRp","marRAB","b1531,b1530,b1532","TF"
"Fis","mazEFG[mazEp1]","+","[GEA, IDA, IEP, IPI, ITCR, LTED, PAGTSBP, BPP, SM]","STRONG","b3261","mazEp1","mazEFG","b2781,b2782,b2783","TF"
"Fis","mazEFG[mazEp2]","+","[GEA, IDA, IEP, IPI, ITCR, LTED, PAGTSBP, BPP, SM]","STRONG","b3261","mazEp2","mazEFG","b2781,b2782,b2783","TF"
"Fis","metT-leuW-glnUW-metU-glnVX[metTp]","+","[IDA, IEP, IPI, BTEI, LTED, IHBCE]","STRONG","b3261","metTp","metT-leuW-glnUW-metU-glnVX","b0664,b0665,b0666,b0668,b0670,b0672,b0673","TF"
"Fis","metY[metYp1]","+","[IDA, IEP, IPI, BTEI, LTED, BCE, IHBCE]","STRONG","b3261","metYp1","metY","b3171","TF"
"Fis","metY-yhbC-nusA-infB[metYp1]","+","[IDA, IEP, IPI, BTEI, LTED, BCE, IHBCE]","STRONG","b3261","metYp1","metY-yhbC-nusA-infB","b3169,b3170,b3171,b3168","TF"
"Fis","metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp[metYp1]","+","[IDA, IEP, IPI, PM, BCE, IHBCE]","STRONG","b3261","metYp1","metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp","b3167,b3169,b3170,b3171,b3168,b3164,b3165,b3166","TF"
"Fis","mglAC[mglAp]","-","[GEA, IDA, IEP, IPI, ITCR, BPP]","STRONG","b3261","mglAp","mglAC","b2148,b2149","TF"
"Fis","msrA[msrAp]","-","[GEA, IDA, IEP, IPI, LTED, AIBSCS]","STRONG","b3261","msrAp","msrA","b4219","TF"
"Fis","mtlADR[mtlAp]","-","[GEA, IDA, IEP, IPI, LTED, AIBSCS]","STRONG","b3261","mtlAp","mtlADR","b3601,b3599,b3600","TF"
"Fis","nanA[nanAp]","-","[GEA, IDA, IEP, IPI, LTED, AIBSCS]","STRONG","b3261","nanAp","nanA","b3225","TF"
"Fis","nanATEK-yhcH[nanAp]","-","[GEA, IDA, IEP, IPI, CV(LTED/PM), ITCR, LTED, PM, AIBSCS]","CONFIRMED","b3261","nanAp","nanATEK-yhcH","b3221,b3222,b3223,b3224,b3225","TF"
"Fis","narGHJI[narGp]","-","[GEA, IDA, IEP, IPI, AIBSCS]","STRONG","b3261","narGp","narGHJI","b1226,b1224,b1225,b1227","TF"
"Fis","narK[narKp1]","-","[GEA, IDA, IEP, IPI, AIBSCS]","STRONG","b3261","narKp1","narK","b4813,b1223","TF"
"Fis","ndh[ndhp]","+","[IDA, IEP, IPI, APIORCISFBSCS, BPP, SM]","STRONG","b3261","ndhp","ndh","b1109","TF"
"Fis","nirBDC-cysG[nirBp]","-","[IDA, IEP, IPI, APIORCISFBSCS, BPP, AIBSCS, GEA]","STRONG","b3261","nirBp","nirBDC-cysG","b3366,b3365,b3367,b3368","TF"
"Fis","nrdAB-yfaE[nrdAp]","+","[IDA, IEP, IPI, PAGTSBP, APIORCISFBSCS, BPP, GEA, SM]","STRONG","b3261","nrdAp","nrdAB-yfaE","b2236,b2234,b2235","TF"
"Fis","nrfABCDEFG[nrfAp]","-","[GEA, IDA, IEP, IPI, BPP]","STRONG","b3261","nrfAp","nrfABCDEFG","b4074,b4075,b4076,b4070,b4071,b4072,b4073","TF"
"Fis","nuoABCEFGHIJKLMN[nuoAp1]","+","[GEA, IDA, IEP, IPI, BTEI, APIORCISFBSCS, BPP]","STRONG","b3261","nuoAp1","nuoABCEFGHIJKLMN","b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288","TF"
"Fis","ogt[ogtp]","-","[IDA, IEP, IPI, BPP]","STRONG","b3261","ogtp","ogt","b1335","TF"
"Fis","osmE[osmEp]","-","[IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","osmEp","osmE","b1739","TF"
"Fis","osmE[osmEp2]","-","[IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","osmEp2","osmE","b1739","TF"
"Fis","osmY[osmYp]","-","[GEA, IDA, IEP, IPI, AIBSCS]","STRONG","b3261","osmYp","osmY","b4376","TF"
"Fis","osmY[osmYp2]","-","[GEA, IDA, IEP, IPI, AIBSCS]","STRONG","b3261","osmYp2","osmY","b4376","TF"
"Fis","patA[patAp]","?","[IDA, IEP, IPI, BTEI, AIBSCS]","STRONG","b3261","patAp","patA","b3073","TF"
"Fis","patA[patAp2]","?","[IDA, IEP, IPI, BTEI, AIBSCS]","STRONG","b3261","patAp2","patA","b3073","TF"
"Fis","pdxA-rsmA[pdxAp]","+","[GEA, IDA, IEP, IPI, BTEI, LTED, BPP]","STRONG","b3261","pdxAp","pdxA-rsmA","b0051,b0052","TF"
"Fis","pdxA-rsmA-apaGH[pdxAp]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","pdxAp","pdxA-rsmA-apaGH","b0049,b0050,b0051,b0052","TF"
"Fis","pflB[pflBp1]","-","[GEA, IDA, IEP, IPI, LTED, AIBSCS]","STRONG","b3261","pflBp1","pflB","b0903","TF"
"Fis","pheU[pheUp]","+","[IDA, IEP, IPI, BTEI, LTED, IHBCE]","STRONG","b3261","pheUp","pheU","b4134","TF"
"Fis","pheV[pheVp]","+","[IDA, IEP, IPI, BTEI, LTED, BCE]","STRONG","b3261","pheVp","pheV","b2967","TF"
"Fis","proK[proKp]","+","[IDA, IEP, IPI, BTEI, BCE]","STRONG","b3261","proKp","proK","b3545","TF"
"Fis","proL[proLp]","+","[IDA, IEP, IPI, BTEI, BCE]","STRONG","b3261","proLp","proL","b2189","TF"
"Fis","proP[proPp2]","+","[IDA, IEP, IPI, APIORCISFBSCS, BPP, SM]","STRONG","b3261","proPp2","proP","b4111","TF"
"Fis","ptsG[ptsGp1]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","ptsGp1","ptsG","b1101","TF"
"Fis","ptsG[ptsGp2]","-","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","ptsGp2","ptsG","b1101","TF"
"Fis","pyrD[pyrDp]","-","[GEA, IDA, IEP, IPI, AIBSCS]","STRONG","b3261","pyrDp","pyrD","b0945","TF"
"Fis","queA[queAp]","+","[GEA, IDA, IEP, IPI, BPP]","STRONG","b3261","queAp","queA","b0405","TF"
"Fis","rnpB[rnpBp]","+","[GEA, IDA, IEP, IPI, BTEI, APIORCISFBSCS, BPP]","STRONG","b3261","rnpBp","rnpB","b3123","TF"
"Fis","rplM-rpsI[rplMp]","-","[IDA, IEP, IPI, BTEI, LTED, AIBSCS, APIORCISFBSCS]","STRONG","b3261","rplMp","rplM-rpsI","b3230,b3231","TF"
"Fis","rrsA-ileT-alaT-rrlA-rrfA[rrsAp1]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","rrsAp1","rrsA-ileT-alaT-rrlA-rrfA","b3852,b3853,b3851,b3854,b3855","TF"
"Fis","rrsA-ileT-alaT-rrlA-rrfA[rrsAp]","+","[IDA, IEP, IPI, BTEI, BPP, GEA]","STRONG","b3261","rrsAp","rrsA-ileT-alaT-rrlA-rrfA","b3852,b3853,b3851,b3854,b3855","TF"
"Fis","rrsB-gltT-rrlB-rrfB[rrsBp1]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","rrsBp1","rrsB-gltT-rrlB-rrfB","b3969,b3970,b3971,b3968","TF"
"Fis","rrsB-gltT-rrlB-rrfB[rrsBp]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","rrsBp","rrsB-gltT-rrlB-rrfB","b3969,b3970,b3971,b3968","TF"
"Fis","rrsC-gltU-rrlC-rrfC[rrsCp1]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","rrsCp1","rrsC-gltU-rrlC-rrfC","b3757,b3758,b3759,b3756","TF"
"Fis","rrsC-gltU-rrlC-rrfC[rrsCp]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","rrsCp","rrsC-gltU-rrlC-rrfC","b3757,b3758,b3759,b3756","TF"
"Fis","rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF[rrsDp1]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","rrsDp1","rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF","b3272,b3273,b3274,b3275,b3276,b3277,b3278","TF"
"Fis","rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF[rrsDp]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","rrsDp","rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF","b3272,b3273,b3274,b3275,b3276,b3277,b3278","TF"
"Fis","rrsE-gltV-rrlE-rrfE[rrsEp1]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","rrsEp1","rrsE-gltV-rrlE-rrfE","b4008,b4009,b4010,b4007","TF"
"Fis","rrsE-gltV-rrlE-rrfE[rrsEp3]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","rrsEp3","rrsE-gltV-rrlE-rrfE","b4008,b4009,b4010,b4007","TF"
"Fis","rrsG-gltW-rrlG-rrfG[rrsGp1]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","rrsGp1","rrsG-gltW-rrlG-rrfG","b2588,b2589,b2590,b2591","TF"
"Fis","rrsG-gltW-rrlG-rrfG[rrsGp]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","rrsGp","rrsG-gltW-rrlG-rrfG","b2588,b2589,b2590,b2591","TF"
"Fis","rrsH-ileV-alaV-rrlH-rrfH[rrsHp1]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","rrsHp1","rrsH-ileV-alaV-rrlH-rrfH","b0202,b0203,b0204,b0205,b0201","TF"
"Fis","rrsH-ileV-alaV-rrlH-rrfH[rrsHp]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","rrsHp","rrsH-ileV-alaV-rrlH-rrfH","b0202,b0203,b0204,b0205,b0201","TF"
"Fis","serT[serTp]","+","[IDA, IEP, IPI, BTEI, IHBCE]","STRONG","b3261","serTp","serT","b0971","TF"
"Fis","serX[serXp]","+","[IDA, IEP, IPI, BTEI, BCE]","STRONG","b3261","serXp","serX","b1032","TF"
"Fis","sra[srap]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","srap","sra","b1480","TF"
"Fis","ssrS[ssrSp1]","+","[GEA, IDA, IEP, IPI, BTEI, BPP]","STRONG","b3261","ssrSp1","ssrS","b2911","TF"
"Fis","ssrS[ssrSp2]","-","[GEA, IDA, IEP, IPI, BTEI, LTED, BPP]","STRONG","b3261","ssrSp2","ssrS","b2911","TF"
"Fis","ssrS[ssrSp]","-","[GEA, IDA, IEP, IPI, BTEI, LTED, BPP]","STRONG","b3261","ssrSp","ssrS","b2911","TF"
"Fis","ssrS-ygfA[ssrSp1]","+","[GEA, IDA, IEP, IPI, LTED, BPP]","STRONG","b3261","ssrSp1","ssrS-ygfA","b2911,b2912","TF"
"Fis","ssrS-ygfA[ssrSp2]","-","[GEA, IDA, IEP, IPI, LTED, BPP]","STRONG","b3261","ssrSp2","ssrS-ygfA","b2911,b2912","TF"
"Fis","ssrS-ygfA[ssrSp]","-","[GEA, IDA, IEP, IPI, LTED, BPP]","STRONG","b3261","ssrSp","ssrS-ygfA","b2911,b2912","TF"
"Fis","thrU-tyrU-glyT-thrT-tufB[thrUp]","+","[GEA, IDA, IEP, IPI, BTEI, ITCR, APIORCISFBSCS, BPP, IHBCE]","STRONG","b3261","thrUp","thrU-tyrU-glyT-thrT-tufB","b3976,b3977,b3979,b3978,b3980","TF"
"Fis","thrW[thrWp]","+","[IDA, IEP, IPI, BTEI, BCE]","STRONG","b3261","thrWp","thrW","b0244","TF"
"Fis","topA[topAp1]","+","[GEA, IDA, IEP, IPI, ICWHO, APIORCISFBSCS, BPP, AIBSCS]","STRONG","b3261","topAp1","topA","b1274","TF"
"Fis","topA[topAp4]","-","[GEA, IDA, IEP, IPI, ICWHO, APIORCISFBSCS, BPP]","STRONG","b3261","topAp4","topA","b1274","TF"
"Fis","trg[trgp]","+","[GEA, IDA, IEP, IPI, IC, AIBSCS]","STRONG","b3261","trgp","trg","b1421","TF"
"Fis","trmA[trmAp]","+","[IDA, IEP, IPI, BTEI, LTED, APIORCISFBSCS]","STRONG","b3261","trmAp","trmA","b3965","TF"
"Fis","tyrTV-tpr[tyrTp]","+","[GEA, IDA, IEP, IPI, BTEI, LTED, AIBSCS, BPP, BCE]","STRONG","b3261","tyrTp","tyrTV-tpr","b1230,b1231,b1229","TF"
"Fis","valUXY-lysV[valUp]","+","[AIBSCS, BPP, SM, IDA, IEP, IPI, BTEI, AIBSCS, BCE, BPP, SM, APIORCISFBSCS]","STRONG","b3261","valUp","valUXY-lysV","b2401,b2402,b2403,b2404","TF"
"Fis","xylFGHR[xylFp]","-","[GEA, IDA, IEP, IPI, BTEI, ITCR, AIBSCS]","STRONG","b3261","xylFp","xylFGHR","b3566,b3567,b3568,b3569","TF"
"Fis","yeaR-yoaG[yeaRp]","-","[IDA, IEP, IPI, ICWHO, BPP]","STRONG","b3261","yeaRp","yeaR-yoaG","b1796,b1797","TF"
"FlhDC","flgAMN[flgAp]","+","[GEA, APPH, APIORCISFBSCS]","STRONG","b1891,b1892","flgAp","flgAMN","b1071,b1072,b1070","TF"
"FlhDC","flgBCDEFGHIJ[flgBp]","+","[GEA, APPH, APIORCISFBSCS, BPP]","STRONG","b1891,b1892","flgBp","flgBCDEFGHIJ","b1073,b1074,b1077,b1078,b1080,b1081,b1075,b1076,b1079","TF"
"FlhDC","flhBAE[flhBp]","+","[GEA, APPH, ITCR, APIORCISFBSCS, BPP]","STRONG","b1891,b1892","flhBp","flhBAE","b1878,b1879,b1880","TF"
"FlhDC","fliAZY[fliAp1]","+","[GEA, APPH, LTED, APIORCISFBSCS, BPP, SM]","STRONG","b1891,b1892","fliAp1","fliAZY","b1921,b1920,b1922","TF"
"FlhDC","fliDST[fliDp2]","+","[APPH, BTEI, APIORCISFBSCS]","STRONG","b1891,b1892","fliDp2","fliDST","b1924,b1925,b1926","TF"
"FlhDC","fliE[fliEp1]","+","[GEA, APPH, AISGDTU, APIORCISFBSCS]","STRONG","b1891,b1892","fliEp1","fliE","b1937","TF"
"FlhDC","fliFGHIJK[fliFp1]","+","[GEA, APPH, APIORCISFBSCS]","STRONG","b1891,b1892","fliFp1","fliFGHIJK","b1938,b1943,b1939,b1940,b1941,b1942","TF"
"FlhDC","fliLMNOPQR[fliLp1]","+","[GEA, APPH, PAGTSBP, APIORCISFBSCS, BPP]","STRONG","b1891,b1892","fliLp1","fliLMNOPQR","b1944,b1945,b1946,b1947,b1948,b1949,b1950","TF"
"FlhDC","glpABC[glpABCp]","+","[GEA, APPH, BTEI, PM, BPP]","STRONG","b1891,b1892","glpABCp","glpABC","b2241,b2242,b2243","TF"
"FlhDC","gltIJKL-sroC[gltIp1]","+","[GEA, APPH, APIORCISFBSCS, BPP]","STRONG","b1891,b1892","gltIp1","gltIJKL-sroC","b4763,b0652,b0653,b0654,b0655","TF"
"FlhDC","hydN-hypF[hydNp]","+","[GEA, APPH, LTED, BPP]","STRONG","b1891,b1892","hydNp","hydN-hypF","b2713,b2712","TF"
"FlhDC","mdh[mdhp1]","-","[GEA, APPH, AISGDTU, BPP]","STRONG","b1891,b1892","mdhp1","mdh","b3236","TF"
