"","ProbeName","Count","Count.gbkey","Gbkeys","IDs","ECKnbs","JWnbs","Bnbs","IStag"
"992","phoH",1,1,"CDS","cds-BAA35801.1","ECK1010","JW1005","b1020",FALSE
"993","ycdP",1,1,"CDS","cds-BAA35802.1","ECK1011","JW1006","b1021",FALSE
"994","ycdQ",1,1,"CDS","cds-BAA35803.1","ECK1012","JW1007","b1022",FALSE
"995","ycdR",1,1,"CDS","cds-BAA35805.2","ECK1013","JW5142","b1023",FALSE
"996","ycdS",1,1,"CDS","cds-BAA35806.1","ECK1014","JW1010","b1024",FALSE
"997","ycdT",1,1,"CDS","cds-BAA35810.2","ECK1015","JW5143","b1025",FALSE
"998","ymdE",1,1,"CDS","cds-ymdE","ECK1016","JW5145","b1028",FALSE
"999","ycdU",1,1,"CDS","cds-BAA35813.1","ECK1017","JW1015","b1029",FALSE
"1000","serX",1,2,"tRNA,tRNA","rna-serX,exon-serX-1","ECK1018","JWR0027","b1032",FALSE
"1001","ycdW",1,1,"CDS","cds-BAA35814.1","ECK1019","JW5146","b1033",FALSE
"1002","ycdX",1,1,"CDS","cds-BAA35815.1","ECK1020","JW1017","b1034",FALSE
"1003","ycdY",1,1,"CDS","cds-BAA35816.1","ECK1021","JW1018","b1035",FALSE
"1004","ycdZ",1,1,"CDS","cds-BAA35817.2","ECK1022","JW5147","b1036",FALSE
"1005","csgG",1,1,"CDS","cds-BAA35818.1","ECK1023","JW1020","b1037",FALSE
"1006","csgF",1,1,"CDS","cds-BAA35819.1","ECK1024","JW1021","b1038",FALSE
"1007","csgE",1,1,"CDS","cds-BAA35820.1","ECK1025","JW1022","b1039",FALSE
"1008","csgD",1,1,"CDS","cds-BAA35830.1","ECK1026","JW1023","b1040",FALSE
"1009","csgB",1,1,"CDS","cds-BAA35831.1","ECK1027","JW1024","b1041",FALSE
"1010","csgA",1,1,"CDS","cds-BAA35832.1","ECK1028","JW1025","b1042",FALSE
"1011","csgC",1,1,"CDS","cds-BAA35833.1","ECK1029","JW1026","b1043",FALSE
"1012","ymdA",1,1,"CDS","cds-BAA35834.1","ECK1030","JW1031","b1044",FALSE
"1013","ymdB",1,1,"CDS","cds-BAA35835.1","ECK1031","JW1032","b1045",FALSE
"1014","ymdC",1,1,"CDS","cds-BAA35836.2","ECK1032","JW5150","b1046",FALSE
"1015","mdoC",1,1,"CDS","cds-BAA35837.1","ECK1033","JW1034","b1047",FALSE
"1016","mdoG",1,1,"CDS","cds-BAA35846.1","ECK1034","JW1035","b1048",FALSE
"1017","mdoH",1,1,"CDS","cds-BAA35848.1","ECK1035","JW1037","b1049",FALSE
"1018","yceK",1,1,"CDS","cds-BAA35849.2","ECK1036","JW5151","b1050",FALSE
"1019","msyB",1,1,"CDS","cds-BAA35850.1","ECK1037","JW1039","b1051",FALSE
"1020","mdtG",1,1,"CDS","cds-BAA35851.1","ECK1038","JW1040","b1053",FALSE
"1021","lpxL",1,1,"CDS","cds-BAA35852.1","ECK1039","JW1041","b1054",FALSE
"1022","yceA",1,1,"CDS","cds-BAA35853.1","ECK1040","JW1042","b1055",FALSE
"1023","yceI",1,1,"CDS","cds-BAA35854.1","ECK1041","JW1043","b1056",FALSE
"1024","yceJ",1,1,"CDS","cds-BAA35855.1","ECK1042","JW1044","b1057",FALSE
"1025","yceO",1,1,"CDS","cds-BAE76372.1","ECK1043","JW1045","b1058",FALSE
"1026","solA",1,1,"CDS","cds-BAA35856.1","ECK1044","JW1046","b1059",FALSE
"1027","yceP",1,1,"CDS","cds-BAA35857.2","ECK1045","JW5152","b1060",FALSE
"1028","dinI",1,1,"CDS","cds-BAA35858.2","ECK1046","JW1048","b1061",FALSE
"1029","pyrC",1,1,"CDS","cds-BAA35870.1","ECK1047","JW1049","b1062",FALSE
"1030","yceB",1,1,"CDS","cds-BAA35871.1","ECK1048","JW1050","b1063",FALSE
"1031","grxB",1,1,"CDS","cds-BAA35872.1","ECK1049","JW1051","b1064",FALSE
"1032","mdtH",1,1,"CDS","cds-BAA35873.2","ECK1050","JW1052","b1065",FALSE
"1033","rimJ",1,1,"CDS","cds-BAA35874.1","ECK1051","JW1053","b1066",FALSE
"1034","yceH",1,1,"CDS","cds-BAA35875.1","ECK1052","JW1054","b1067",FALSE
"1035","mviM",1,1,"CDS","cds-BAA35876.1","ECK1053","JW1055","b1068",FALSE
"1036","mviN",1,1,"CDS","cds-BAA35877.1","ECK1054","JW1056","b1069",FALSE
"1037","flgN",1,1,"CDS","cds-BAA35878.1","ECK1055","JW1057","b1070",FALSE
"1038","flgM",1,1,"CDS","cds-BAA35879.1","ECK1056","JW1058","b1071",FALSE
"1039","flgA",1,1,"CDS","cds-BAA35880.1","ECK1057","JW1059","b1072",FALSE
"1040","flgB",1,1,"CDS","cds-BAA35881.1","ECK1058","JW1060","b1073",FALSE
"1041","flgC",1,1,"CDS","cds-BAA35882.1","ECK1059","JW1061","b1074",FALSE
"1042","flgD",1,1,"CDS","cds-BAA35883.1","ECK1060","JW1062","b1075",FALSE
"1043","flgE",1,1,"CDS","cds-BAA35885.2","ECK1061","JW1063","b1076",FALSE
"1044","flgF",1,1,"CDS","cds-BAA35886.1","ECK1062","JW1064","b1077",FALSE
"1045","flgG",1,1,"CDS","cds-BAA35887.1","ECK1063","JW1065","b1078",FALSE
"1046","flgH",1,1,"CDS","cds-BAA35888.2","ECK1064","JW5153","b1079",FALSE
"1047","flgI",1,1,"CDS","cds-BAA35889.1","ECK1065","JW1067","b1080",FALSE
"1048","flgJ",1,1,"CDS","cds-BAA35890.1","ECK1066","JW1068","b1081",FALSE
"1049","flgK",1,1,"CDS","cds-BAA35891.1","ECK1067","JW1069","b1082",FALSE
"1050","flgL",1,1,"CDS","cds-BAA35892.1","ECK1068","JW1070","b1083",FALSE
"1051","rne",1,1,"CDS","cds-BAA35893.1","ECK1069","JW1071","b1084",FALSE
"1052","yceQ",1,1,"CDS","cds-BAE76373.1","ECK1070","JW5154","b1085",FALSE
"1053","rluC",1,1,"CDS","cds-BAA35894.1","ECK1071","JW1072","b1086",FALSE
"1054","yceF",1,1,"CDS","cds-BAA35895.2","ECK1072","JW5155","b1087",FALSE
"1055","sraB",1,2,"misc_RNA,misc_RNA","rna-sraB,exon-sraB-1","ECK1073","JWR0228","b4418",FALSE
"1056","yceD",1,1,"CDS","cds-BAA35896.1","ECK1074","JW1074","b1088",FALSE
"1057","rpmF",1,1,"CDS","cds-BAA35897.1","ECK1075","JW1075","b1089",FALSE
"1058","plsX",1,1,"CDS","cds-BAA35898.2","ECK1076","JW5156","b1090",FALSE
"1059","fabH",1,1,"CDS","cds-BAA35899.2","ECK1077","JW1077","b1091",FALSE
"1060","fabD",1,1,"CDS","cds-BAA35900.1","ECK1078","JW1078","b1092",FALSE
"1061","fabG",1,1,"CDS","cds-BAA35901.1","ECK1079","JW1079","b1093",FALSE
"1062","acpP",1,1,"CDS","cds-BAA35902.1","ECK1080","JW1080","b1094",FALSE
"1063","fabF",1,1,"CDS","cds-BAA35903.1","ECK1081","JW1081","b1095",FALSE
"1064","pabC",1,1,"CDS","cds-BAA35904.1","ECK1082","JW1082","b1096",FALSE
"1065","yceG",1,1,"CDS","cds-BAE76374.1","ECK1083","JW1083","b1097",FALSE
"1066","tmk",1,1,"CDS","cds-BAA35905.1","ECK1084","JW1084","b1098",FALSE
"1067","holB",1,1,"CDS","cds-BAA35906.1","ECK1085","JW1085","b1099",FALSE
"1068","ycfH",1,1,"CDS","cds-BAA35907.1","ECK1086","JW1086","b1100",FALSE
"1069","ptsG",1,1,"CDS","cds-BAA35908.1","ECK1087","JW1087","b1101",FALSE
"1070","fhuE",1,1,"CDS","cds-BAA35909.1","ECK1088","JW1088","b1102",FALSE
"1071","hinT",1,1,"CDS","cds-BAA35910.1","ECK1089","JW1089","b1103",FALSE
"1072","ycfL",1,1,"CDS","cds-BAA35911.1","ECK1090","JW1090","b1104",FALSE
"1073","ycfM",1,1,"CDS","cds-BAA35912.2","ECK1091","JW5157","b1105",FALSE
"1074","ycfN",1,1,"CDS","cds-BAA35913.1","ECK1092","JW1092","b1106",FALSE
"1075","nagZ",1,1,"CDS","cds-BAA35914.1","ECK1093","JW1093","b1107",FALSE
"1076","ycfP",1,1,"CDS","cds-BAA35915.2","ECK1094","JW5158","b1108",FALSE
"1077","ndh",1,1,"CDS","cds-BAA35924.1","ECK1095","JW1095","b1109",FALSE
"1078","ycfJ",1,1,"CDS","cds-BAA35925.1","ECK1096","JW1096","b1110",FALSE
"1079","ycfQ",1,1,"CDS","cds-BAA35926.2","ECK1097","JW5159","b1111",FALSE
"1080","ycfR",1,1,"CDS","cds-BAA35927.1","ECK1098","JW1098","b1112",FALSE
"1081","ycfS",1,1,"CDS","cds-BAA35928.1","ECK1099","JW5820","b1113",FALSE
"1082","mfd",1,1,"CDS","cds-BAA35929.1","ECK1100","JW1100","b1114",FALSE
"1083","ycfT",1,1,"CDS","cds-BAA35930.1","ECK1101","JW1101","b1115",FALSE
"1084","lolC",1,1,"CDS","cds-BAA35936.2","ECK1102","JW5161","b1116",FALSE
"1085","lolD",1,1,"CDS","cds-BAA35937.2","ECK1103","JW5162","b1117",FALSE
"1086","lolE",1,1,"CDS","cds-BAA35938.1","ECK1104","JW1104","b1118",FALSE
"1087","ycfX",1,1,"CDS","cds-BAA35939.1","ECK1105","JW1105","b1119",FALSE
"1088","cobB",1,1,"CDS","cds-BAA35940.1","ECK1106","JW1106","b1120",FALSE
"1089","ycfZ",1,1,"CDS","cds-BAA35941.1","ECK1107","JW1107","b1121",FALSE
"1090","ymfA",1,1,"CDS","cds-BAA35942.2","ECK1108","JW5164","b1122",FALSE
"1091","potD",1,1,"CDS","cds-BAA35943.1","ECK1109","JW1109","b1123",FALSE
"1092","potC",1,1,"CDS","cds-BAA35944.1","ECK1110","JW1110","b1124",FALSE
"1093","potB",1,1,"CDS","cds-BAA35945.1","ECK1111","JW1111","b1125",FALSE
"1094","potA",1,1,"CDS","cds-BAA35946.2","ECK1112","JW1112","b1126",FALSE
"1095","pepT",1,1,"CDS","cds-BAA35949.1","ECK1113","JW1113","b1127",FALSE
"1096","ycfD",1,1,"CDS","cds-BAA35950.1","ECK1114","JW1114","b1128",FALSE
"1097","phoQ",1,1,"CDS","cds-BAA35951.1","ECK1115","JW1115","b1129",FALSE
"1098","phoP",1,1,"CDS","cds-BAA35952.1","ECK1116","JW1116","b1130",FALSE
"1099","purB",1,1,"CDS","cds-BAA35953.1","ECK1117","JW1117","b1131",FALSE
"1100","hflD",1,1,"CDS","cds-BAA35954.1","ECK1118","JW5165","b1132",FALSE
"1101","trmU",1,1,"CDS","cds-BAA35955.1","ECK1119","JW1119","b1133",FALSE
"1102","ymfB",1,1,"CDS","cds-BAA35956.1","ECK1120","JW1120","b1134",FALSE
"1103","ymfC",1,1,"CDS","cds-BAA35957.1","ECK1121","JW1121","b1135",FALSE
"1104","icd",1,1,"CDS","cds-BAA35958.1","ECK1122","JW1122","b1136",FALSE
"1105","ymfD",1,1,"CDS","cds-BAE76375.1","ECK1123","JW1123","b1137",FALSE
"1106","ymfE",1,1,"CDS","cds-BAE76376.1","ECK1124","JW5166","b1138",FALSE
"1107","lit",1,1,"CDS","cds-BAA35968.1","ECK1125","JW1125","b1139",FALSE
"1108","intE",1,1,"CDS","cds-BAA35969.1","ECK1126","JW1126","b1140",FALSE
"1109","ymfG",1,1,"CDS","cds-BAA35970.1","ECK1127","JW1127","b1141",FALSE
"1110","ymfH",1,1,"CDS","cds-BAE76377.1","ECK1128","JW1128","b1142",FALSE
"1111","ymfI",1,1,"CDS","cds-BAE76378.1","ECK1129","JW5168","b1143",FALSE
"1112","ymfJ",1,1,"CDS","cds-BAE76379.1","ECK1130","JW1130","b1144",FALSE
"1113","ymfK",1,1,"CDS","cds-BAA35971.1","ECK1131","JW1131","b1145",FALSE
"1114","ymfT",1,1,"CDS","cds-BAA35972.2","ECK1132","JW5169","b1146",FALSE
"1115","ymfL",1,1,"CDS","cds-BAA35973.1","ECK1133","JW1133","b1147",FALSE
"1116","ymfM",1,1,"CDS","cds-BAE76380.1","ECK1134","JW1134","b1148",FALSE
"1117","ymfN",1,1,"CDS","cds-BAA35975.1","ECK1135","JW1135","b1149",FALSE
"1118","ymfR",1,1,"CDS","cds-BAA35976.1","ECK1136","JW1136","b1150",FALSE
"1119","ymfO",1,1,"CDS","cds-BAA35977.1","ECK1137","JW1137","b1151",FALSE
"1120","ymfP",1,1,"CDS","cds-BAA35978.2","ECK1138","JW5170","b1152",FALSE
"1121","ymfQ",1,1,"CDS","cds-BAA35979.1","ECK1139","JW1139","b1153",FALSE
"1122","ycfK",1,1,"CDS","cds-BAA35980.1","ECK1140","JW1140","b1154",FALSE
"1123","ymfS",1,1,"CDS","cds-BAE76381.1","ECK1141","JW5171","b1155",FALSE
"1124","tfaE",1,1,"CDS","cds-BAE76382.1","ECK1142","JW1142","b1156",FALSE
"1125","stfE",1,1,"CDS","cds-stfE","ECK1143","JW5172","b1157",FALSE
"1126","pin",1,1,"CDS","cds-BAA35994.1","ECK1144","JW1144","b1158",FALSE
"1127","mcrA",1,1,"CDS","cds-BAA35995.1","ECK1145","JW1145","b1159",FALSE
"1128","icdC",1,1,"CDS","cds-icdC","ECK1146","JW5173","b4519",FALSE
"1129","elbA",1,1,"CDS","cds-BAE76383.1","ECK1147","JW1147","b1160",FALSE
"1130","ycgX",1,1,"CDS","cds-BAE76384.1","ECK1148","JW1148","b1161",FALSE
"1131","ycgE",1,1,"CDS","cds-BAA35997.1","ECK1149","JW1149","b1162",FALSE
"1132","ycgF",1,1,"CDS","cds-BAA35998.1","ECK1150","JW1150","b1163",FALSE
"1133","ycgZ",1,1,"CDS","cds-BAE76385.1","ECK1151","JW1151","b1164",FALSE
"1134","ymgA",1,1,"CDS","cds-BAE76386.1","ECK1152","JW1152","b1165",FALSE
"1135","ymgB",1,1,"CDS","cds-BAE76387.1","ECK1153","JW1153","b1166",FALSE
"1136","ymgC",1,1,"CDS","cds-BAA35999.1","ECK1154","JW1154","b1167",FALSE
"1137","ycgG",1,1,"CDS","cds-BAA36000.2","ECK1155","JW5174","b1168",FALSE
"1138","ymgF",1,1,"CDS","cds-BAE76388.1","ECK1156","JW1156","b4520",FALSE
"1139","ymgD",1,1,"CDS","cds-BAA36005.2","ECK1158","JW5177","b1171",FALSE
"1140","ymgG",1,1,"CDS","cds-BAA36006.2","ECK1159","JW5178","b1172",FALSE
"1141","ymgH",1,1,"CDS","cds-BAE76389.1","ECK1160","JW5179","b4521",FALSE
"1142","ycgI",1,1,"CDS","cds-BAE76390.1","ECK1161","JW1162","b1173",FALSE
"1143","minE",1,1,"CDS","cds-BAA36008.1","ECK1162","JW1163","b1174",FALSE
"1144","minD",1,1,"CDS","cds-BAA36009.1","ECK1163","JW1164","b1175",FALSE
"1145","minC",1,1,"CDS","cds-BAA36010.1","ECK1164","JW1165","b1176",FALSE
"1146","ycgJ",1,1,"CDS","cds-BAA36011.1","ECK1165","JW1166","b1177",FALSE
"1147","ycgK",1,1,"CDS","cds-BAA36012.1","ECK1166","JW1167","b1178",FALSE
"1148","ycgL",1,1,"CDS","cds-BAA36013.1","ECK1167","JW1168","b1179",FALSE
"1149","ycgM",1,1,"CDS","cds-BAA36014.1","ECK1168","JW1169","b1180",FALSE
"1150","ycgN",1,1,"CDS","cds-BAA36015.2","ECK1169","JW5180","b1181",FALSE
"1151","hlyE",1,1,"CDS","cds-BAA36016.2","ECK1170","JW5181","b1182",FALSE
"1152","umuD",1,1,"CDS","cds-BAA36030.1","ECK1171","JW1172","b1183",FALSE
"1153","umuC",1,1,"CDS","cds-BAA36031.1","ECK1172","JW1173","b1184",FALSE
"1154","dsbB",1,1,"CDS","cds-BAA36032.2","ECK1173","JW5182","b1185",FALSE
"1155","nhaB",1,1,"CDS","cds-BAA36033.1","ECK1174","JW1175","b1186",FALSE
"1156","fadR",1,1,"CDS","cds-BAA36042.1","ECK1175","JW1176","b1187",FALSE
"1157","ycgB",1,1,"CDS","cds-BAA36043.1","ECK1176","JW1177","b1188",FALSE
"1158","dadA",1,1,"CDS","cds-BAA36044.1","ECK1177","JW1178","b1189",FALSE
"1159","dadX",1,1,"CDS","cds-BAA36045.1","ECK1178","JW1179","b1190",FALSE
"1160","cvrA",1,1,"CDS","cds-BAA36046.2","ECK1179","JW5184","b1191",FALSE
"1161","ldcA",1,1,"CDS","cds-BAA36050.1","ECK1180","JW1181","b1192",FALSE
"1162","emtA",1,1,"CDS","cds-BAA36051.2","ECK1181","JW5821","b1193",FALSE
"1163","ycgR",1,1,"CDS","cds-BAA36052.2","ECK1182","JW1183","b1194",FALSE
"1164","ymgE",1,1,"CDS","cds-BAA36053.1","ECK1183","JW1184","b1195",FALSE
"1165","ycgY",1,1,"CDS","cds-BAE76391.1","ECK1184","JW1185","b1196",FALSE
"1166","treA",1,1,"CDS","cds-BAA36054.1","ECK1185","JW1186","b1197",FALSE
"1167","dhaH",1,1,"CDS","cds-BAA36055.2","ECK1186","JW5185","b1198",FALSE
"1168","dhaL",1,1,"CDS","cds-BAA36056.2","ECK1187","JW5186","b1199",FALSE
"1169","dhaK",1,1,"CDS","cds-BAA36057.2","ECK1188","JW5187","b1200",FALSE
"1170","dhaR",1,1,"CDS","cds-BAA36058.2","ECK1189","JW5188","b1201",FALSE
"1171","ycgV",1,1,"CDS","cds-BAA36059.2","ECK1190","JW1193","b1202",FALSE
"1172","ychF",1,1,"CDS","cds-BAA36061.1","ECK1191","JW1194","b1203",FALSE
"1173","pth",1,1,"CDS","cds-BAA36062.1","ECK1192","JW1195","b1204",FALSE
"1174","ychH",1,1,"CDS","cds-BAA36063.1","ECK1193","JW1196","b1205",FALSE
"1175","ychM",1,1,"CDS","cds-BAA36064.2","ECK1194","JW5189","b1206",FALSE
"1176","prsA",1,1,"CDS","cds-BAA36065.1","ECK1195","JW1198","b1207",FALSE
"1177","ispE",1,1,"CDS","cds-BAA36066.1","ECK1196","JW1199","b1208",FALSE
"1178","lolB",1,1,"CDS","cds-BAA36067.1","ECK1197","JW1200","b1209",FALSE
"1179","hemA",1,1,"CDS","cds-BAA36068.1","ECK1198","JW1201","b1210",FALSE
"1180","prfA",1,1,"CDS","cds-BAA36069.1","ECK1199","JW1202","b1211",FALSE
"1181","prmC",1,1,"CDS","cds-BAA36070.1","ECK1200","JW1203","b1212",FALSE
"1182","ychQ",1,1,"CDS","cds-BAA36071.1","ECK1201","JW1204","b1213",FALSE
"1183","ychA",1,1,"CDS","cds-BAA36072.1","ECK1202","JW1205","b1214",FALSE
"1184","kdsA",1,1,"CDS","cds-BAA36073.1","ECK1203","JW1206","b1215",FALSE
"1185","ldrA",1,1,"CDS","cds-BAE76392.1","ECK1204","JW5957","b4419",FALSE
"1186","rdlA",1,2,"misc_RNA,misc_RNA","rna-rdlA,exon-rdlA-1","ECK1205","JWR0229","b4420",FALSE
"1187","ldrB",1,1,"CDS","cds-BAE76393.1","ECK1206","JW5958","b4421",FALSE
"1188","rdlB",1,2,"misc_RNA,misc_RNA","rna-rdlB,exon-rdlB-1","ECK1207","JWR0230","b4422",FALSE
"1189","ldrC",1,1,"CDS","cds-BAE76394.1","ECK1208","JW5959","b4423",FALSE
"1190","rdlC",1,2,"misc_RNA,misc_RNA","rna-rdlC,exon-rdlC-1","ECK1209","JWR0231","b4424",FALSE
"1191","chaA",1,1,"CDS","cds-BAA36074.1","ECK1210","JW1207","b1216",FALSE
"1192","chaB",1,1,"CDS","cds-BAA36075.1","ECK1211","JW1208","b1217",FALSE
"1193","chaC",1,1,"CDS","cds-BAA36076.1","ECK1212","JW1209","b1218",FALSE
"1194","ychN",1,1,"CDS","cds-BAA36087.1","ECK1213","JW1210","b1219",FALSE
"1195","ychP",1,1,"CDS","cds-BAA36088.1","ECK1214","JW1211","b1220",FALSE
"1196","narL",1,1,"CDS","cds-BAA36089.1","ECK1215","JW1212","b1221",FALSE
"1197","narX",1,1,"CDS","cds-BAA36090.1","ECK1216","JW1213","b1222",FALSE
"1198","narK",1,1,"CDS","cds-BAA36091.1","ECK1217","JW1214","b1223",FALSE
"1199","narG",1,1,"CDS","cds-BAA36094.1","ECK1218","JW1215","b1224",FALSE
"1200","narH",1,1,"CDS","cds-BAA36095.1","ECK1219","JW1216","b1225",FALSE
"1201","narJ",1,1,"CDS","cds-BAA36096.1","ECK1220","JW1217","b1226",FALSE
"1202","narI",1,1,"CDS","cds-BAA36097.1","ECK1221","JW1218","b1227",FALSE
"1203","ychS",1,1,"CDS","cds-BAA36098.2","ECK1222","JW5881","b1228",FALSE
"1204","tpr",1,1,"CDS","cds-BAA36099.1","ECK1224","JW1219","b1229",FALSE
"1205","tyrV",1,2,"tRNA,tRNA","rna-tyrV,exon-tyrV-1","ECK1225","JWR0028","b1230",FALSE
"1206","tyrT",1,2,"tRNA,tRNA","rna-tyrT,exon-tyrT-1","ECK1226","JWR0029","b1231",FALSE
"1207","purU",1,1,"CDS","cds-BAA36100.1","ECK1227","JW1220","b1232",FALSE
"1208","ychJ",1,1,"CDS","cds-BAA36101.1","ECK1228","JW1221","b1233",FALSE
"1209","rssA",1,1,"CDS","cds-BAA36102.1","ECK1229","JW1222","b1234",FALSE
"1210","rssB",1,1,"CDS","cds-BAA36103.1","ECK1230","JW1223","b1235",FALSE
"1211","galU",1,1,"CDS","cds-BAA36104.1","ECK1231","JW1224","b1236",FALSE
"1212","hns",1,1,"CDS","cds-BAA36117.1","ECK1232","JW1225","b1237",FALSE
"1213","tdk",1,1,"CDS","cds-BAA36118.1","ECK1233","JW1226","b1238",FALSE
"1214","adhE",1,1,"CDS","cds-BAA36121.1","ECK1235","JW1228","b1241",FALSE
"1215","ychE",1,1,"CDS","cds-BAA36122.2","ECK1236","JW1229","b1242",FALSE
"1216","oppA",1,1,"CDS","cds-BAA14775.2","ECK1237","JW1235","b1243",FALSE
"1217","oppB",1,1,"CDS","cds-BAA14776.2","ECK1238","JW1236","b1244",FALSE
"1218","oppC",1,1,"CDS","cds-BAA14777.1","ECK1239","JW1237","b1245",FALSE
"1219","oppD",1,1,"CDS","cds-BAA14778.1","ECK1240","JW1238","b1246",FALSE
"1220","oppF",1,1,"CDS","cds-BAA14779.1","ECK1241","JW1239","b1247",FALSE
"1221","yciU",1,1,"CDS","cds-BAA14780.1","ECK1242","JW1240","b1248",FALSE
"1222","cls",1,1,"CDS","cds-BAA14781.1","ECK1243","JW1241","b1249",FALSE
"1223","kch",1,1,"CDS","cds-BAA14782.1","ECK1244","JW1242","b1250",FALSE
"1224","yciI",1,1,"CDS","cds-BAA14783.1","ECK1245","JW1243","b1251",FALSE
"1225","tonB",1,1,"CDS","cds-BAA14784.2","ECK1246","JW5195","b1252",FALSE
"1226","yciA",1,1,"CDS","cds-BAA14785.1","ECK1247","JW1245","b1253",FALSE
"1227","yciB",1,1,"CDS","cds-BAA14786.1","ECK1248","JW1246","b1254",FALSE
"1228","yciC",1,1,"CDS","cds-BAA14787.1","ECK1249","JW1247","b1255",FALSE
"1229","ompW",1,1,"CDS","cds-BAA14788.1","ECK1250","JW1248","b1256",FALSE
"1230","yciE",1,1,"CDS","cds-BAA14789.1","ECK1251","JW1249","b1257",FALSE
"1231","yciF",1,1,"CDS","cds-BAA14790.1","ECK1252","JW1250","b1258",FALSE
"1232","yciG",1,1,"CDS","cds-BAA14791.2","ECK1253","JW1251","b1259",FALSE
"1233","trpA",1,1,"CDS","cds-BAA14792.1","ECK1254","JW1252","b1260",FALSE
"1234","trpB",1,1,"CDS","cds-BAA14793.2","ECK1255","JW1253","b1261",FALSE
"1235","trpC",1,1,"CDS","cds-BAA14794.1","ECK1256","JW1254","b1262",FALSE
"1236","trpD",1,1,"CDS","cds-BAA14798.1","ECK1257","JW1255","b1263",FALSE
"1237","trpE",1,1,"CDS","cds-BAA14799.1","ECK1258","JW1256","b1264",FALSE
"1238","yciV",1,1,"CDS","cds-BAA14800.1","ECK1260","JW1258","b1266",FALSE
"1239","yciO",1,1,"CDS","cds-BAA14801.2","ECK1261","JW5196","b1267",FALSE
"1240","yciQ",1,1,"CDS","cds-BAA14803.2","ECK1262","JW5197","b1268",FALSE
"1241","rluB",1,1,"CDS","cds-BAA14806.1","ECK1263","JW1261","b1269",FALSE
"1242","btuR",1,1,"CDS","cds-BAA14807.1","ECK1264","JW1262","b1270",FALSE
"1243","yciK",1,1,"CDS","cds-BAA14808.1","ECK1265","JW1263","b1271",FALSE
"1244","sohB",1,1,"CDS","cds-BAA14809.1","ECK1266","JW1264","b1272",FALSE
"1245","yciN",1,1,"CDS","cds-BAA14810.1","ECK1267","JW1265","b1273",FALSE
"1246","topA",1,1,"CDS","cds-BAA14811.1","ECK1268","JW1266","b1274",FALSE
"1247","cysB",1,1,"CDS","cds-BAA14827.1","ECK1269","JW1267","b1275",FALSE
"1248","acnA",1,1,"CDS","cds-BAA14828.1","ECK1271","JW1268","b1276",FALSE
"1249","ribA",1,1,"CDS","cds-BAA14831.1","ECK1272","JW1269","b1277",FALSE
"1250","pgpB",1,1,"CDS","cds-BAA14832.1","ECK1273","JW1270","b1278",FALSE
"1251","yciS",1,1,"CDS","cds-BAA14833.1","ECK1274","JW1271","b1279",FALSE
"1252","yciM",1,1,"CDS","cds-BAA14834.1","ECK1275","JW1272","b1280",FALSE
"1253","pyrF",1,1,"CDS","cds-BAA14835.1","ECK1276","JW1273","b1281",FALSE
"1254","yciH",1,1,"CDS","cds-BAA14836.1","ECK1277","JW1274","b1282",FALSE
"1255","osmB",1,1,"CDS","cds-BAA14837.1","ECK1278","JW1275","b1283",FALSE
"1256","yciT",1,1,"CDS","cds-BAA14838.2","ECK1279","JW1276","b1284",FALSE
"1257","gmr",1,1,"CDS","cds-BAA14839.1","ECK1280","JW1278","b1285",FALSE
"1258","rnb",1,1,"CDS","cds-BAA14840.1","ECK1281","JW1279","b1286",FALSE
"1259","yciW",1,1,"CDS","cds-BAE76396.1","ECK1282","JW5200","b1287",FALSE
"1260","fabI",1,1,"CDS","cds-BAA14841.2","ECK1283","JW1281","b1288",FALSE
"1261","ycjD",1,1,"CDS","cds-BAA14842.1","ECK1284","JW1282","b1289",FALSE
"1262","sapF",1,1,"CDS","cds-BAA14843.1","ECK1285","JW1283","b1290",FALSE
"1263","sapD",1,1,"CDS","cds-BAA14844.1","ECK1286","JW1284","b1291",FALSE
"1264","sapC",1,1,"CDS","cds-BAA14845.1","ECK1287","JW1285","b1292",FALSE
"1265","sapB",1,1,"CDS","cds-BAA14854.1","ECK1288","JW1286","b1293",FALSE
"1266","sapA",1,1,"CDS","cds-BAA14855.2","ECK1289","JW1287","b1294",FALSE
"1267","ymjA",1,1,"CDS","cds-BAE76397.1","ECK1290","JW1288","b1295",FALSE
"1268","puuP",1,1,"CDS","cds-BAA14856.2","ECK1291","JW1289","b1296",FALSE
"1269","puuA",1,1,"CDS","cds-BAA14857.2","ECK1292","JW5201","b1297",FALSE
"1270","puuD",1,1,"CDS","cds-BAA14858.1","ECK1293","JW1291","b1298",FALSE
"1271","puuR",1,1,"CDS","cds-BAA14868.1","ECK1294","JW1292","b1299",FALSE
"1272","puuC",1,1,"CDS","cds-BAA14869.1","ECK1295","JW1293","b1300",FALSE
"1273","puuB",1,1,"CDS","cds-BAA14870.1","ECK1296","JW1294","b1301",FALSE
"1274","puuE",1,1,"CDS","cds-BAA14871.1","ECK1297","JW1295","b1302",FALSE
"1275","pspF",1,1,"CDS","cds-BAA14872.1","ECK1298","JW1296","b1303",FALSE
"1276","pspA",1,1,"CDS","cds-BAA14873.1","ECK1299","JW1297","b1304",FALSE
"1277","pspB",1,1,"CDS","cds-BAA14874.1","ECK1300","JW1298","b1305",FALSE
